country,country_code,year,ewaste_recycling_rate_pct
Denmark,DNK,2015,84.2
Denmark,DNK,2016,86.4
Denmark,DNK,2017,85.8
Denmark,DNK,2018,80.7
Estonia,EST,2007,83.2
Estonia,EST,2008,81.4
Estonia,EST,2009,82.7
Estonia,EST,2010,82.7
Estonia,EST,2011,69.5
Estonia,EST,2012,80.4
Estonia,EST,2013,66.0
Estonia,EST,2014,85.1
Estonia,EST,2015,86.7
Estonia,EST,2016,86.7
Estonia,EST,2017,85.7
Estonia,EST,2018,85.7
Finland,FIN,2005,81.8
Finland,FIN,2006,78.8
Finland,FIN,2007,79.1
Finland,FIN,2008,82.4
Finland,FIN,2009,86.9
Finland,FIN,2010,88.5
Finland,FIN,2011,89.1
Finland,FIN,2012,89.4
Finland,FIN,2013,87.9
Finland,FIN,2014,87.8
Finland,FIN,2015,92.5
Finland,FIN,2016,88.9
Finland,FIN,2017,90.0
Finland,FIN,2018,89.7
France,FRA,2006,26.9
France,FRA,2007,71.6
France,FRA,2008,75.9
France,FRA,2009,73.9
France,FRA,2010,77.4
France,FRA,2011,77.9
France,FRA,2012,76.7
France,FRA,2013,78.7
France,FRA,2014,80.8
France,FRA,2015,81.9
France,FRA,2016,81.9
France,FRA,2017,81.9
France,FRA,2018,74.2
Germany,DEU,2006,79.6
Germany,DEU,2007,80.8
Germany,DEU,2008,80.6
Germany,DEU,2009,80.3
Germany,DEU,2010,82.8
Germany,DEU,2011,83.9
Germany,DEU,2012,83.5
Germany,DEU,2013,82.8
Germany,DEU,2014,84.2
Germany,DEU,2015,79.3
Germany,DEU,2016,86.7
Germany,DEU,2017,85.8
Germany,DEU,2018,85.6
Greece,GRC,2005,31.4
Greece,GRC,2006,82.6
Greece,GRC,2007,77.2
Greece,GRC,2008,82.8
Greece,GRC,2009,84.5
Greece,GRC,2010,98.0
Greece,GRC,2011,90.9
Greece,GRC,2012,90.2
Greece,GRC,2013,90.6
Greece,GRC,2014,84.0
Greece,GRC,2015,89.6
Greece,GRC,2016,85.4
Greece,GRC,2017,78.8
Greece,GRC,2018,80.7
Hungary,HUN,2005,78.3
Hungary,HUN,2006,76.7
Hungary,HUN,2007,78.6
Hungary,HUN,2008,82.0
Hungary,HUN,2009,83.4
Hungary,HUN,2010,82.3
Hungary,HUN,2011,87.7
Hungary,HUN,2012,81.5
Hungary,HUN,2013,87.7
Hungary,HUN,2014,87.0
Hungary,HUN,2015,83.3
Hungary,HUN,2016,84.0
Hungary,HUN,2017,84.2
Hungary,HUN,2018,83.5
Hungary,HUN,2019,68.12
Hungary,HUN,2020,68.13
Iceland,ISL,2009,66.7
Iceland,ISL,2010,66.6
Iceland,ISL,2011,71.3
Iceland,ISL,2012,73.8
Iceland,ISL,2013,63.8
Iceland,ISL,2014,73.7
Iceland,ISL,2015,76.2
Iceland,ISL,2016,79.2
Iceland,ISL,2017,92.0
Iceland,ISL,2018,90.4
Iceland,ISL,2020,91.92
Ireland,IRL,2007,83.6
Ireland,IRL,2008,78.5
Ireland,IRL,2009,82.0
Ireland,IRL,2010,80.3
Ireland,IRL,2011,82.1
Ireland,IRL,2012,83.4
Ireland,IRL,2013,83.3
Ireland,IRL,2014,83.7
Ireland,IRL,2015,83.2
Ireland,IRL,2016,85.1
Ireland,IRL,2017,83.8
Ireland,IRL,2018,82.9
Italy,ITA,2007,69.8
Italy,ITA,2008,85.2
Italy,ITA,2009,87.4
Italy,ITA,2010,86.2
Italy,ITA,2011,93.1
Italy,ITA,2012,80.0
Italy,ITA,2013,88.0
Italy,ITA,2014,82.3
Italy,ITA,2015,85.7
Italy,ITA,2017,88.9
Italy,ITA,2018,84.3
Latvia,LVA,2007,68.5
Latvia,LVA,2008,69.7
Latvia,LVA,2009,82.2
Latvia,LVA,2010,84.6
Latvia,LVA,2011,81.5
Latvia,LVA,2012,83.6
Latvia,LVA,2013,90.3
Latvia,LVA,2014,90.3
Latvia,LVA,2015,82.2
Latvia,LVA,2016,88.5
Latvia,LVA,2017,80.8
Latvia,LVA,2018,81.4
Liechtenstein,LIE,2007,100.0
Liechtenstein,LIE,2008,100.0
Liechtenstein,LIE,2009,100.0
Liechtenstein,LIE,2010,100.0
Liechtenstein,LIE,2011,75.0
Liechtenstein,LIE,2012,75.0
Liechtenstein,LIE,2013,75.0
Liechtenstein,LIE,2014,75.0
Liechtenstein,LIE,2015,73.0
Liechtenstein,LIE,2016,73.0
Liechtenstein,LIE,2017,73.0
Liechtenstein,LIE,2018,73.0
Lithuania,LTU,2005,42.6
Lithuania,LTU,2006,63.4
Lithuania,LTU,2007,62.3
Lithuania,LTU,2008,61.8
Lithuania,LTU,2009,77.1
Lithuania,LTU,2010,72.4
Lithuania,LTU,2011,70.3
Lithuania,LTU,2012,68.7
Lithuania,LTU,2013,69.5
Lithuania,LTU,2014,75.7
Lithuania,LTU,2015,80.7
Lithuania,LTU,2016,82.3
Lithuania,LTU,2017,82.2
Luxembourg,LUX,2006,88.5
Luxembourg,LUX,2007,85.4
Luxembourg,LUX,2008,81.1
Luxembourg,LUX,2009,84.8
Luxembourg,LUX,2010,85.7
Luxembourg,LUX,2011,86.0
Luxembourg,LUX,2012,86.8
Luxembourg,LUX,2013,87.6
Luxembourg,LUX,2014,88.0
Luxembourg,LUX,2015,86.9
Luxembourg,LUX,2016,87.4
Luxembourg,LUX,2017,89.1
Luxembourg,LUX,2018,88.0
Luxembourg,LUX,2019,60.12
Luxembourg,LUX,2020,61.85
Malta,MLT,2005,0.1
Malta,MLT,2006,0.0
Malta,MLT,2007,0.0
Malta,MLT,2008,0.0
Malta,MLT,2009,56.7
Malta,MLT,2010,56.4
Malta,MLT,2011,122.8
Malta,MLT,2012,71.7
Malta,MLT,2013,97.5
Malta,MLT,2014,107.1
Malta,MLT,2015,65.1
Malta,MLT,2016,103.4
Malta,MLT,2017,72.1
Netherlands,NLD,2005,75.6
Netherlands,NLD,2006,77.8
Netherlands,NLD,2007,79.0
Netherlands,NLD,2008,81.1
Netherlands,NLD,2009,78.8
Netherlands,NLD,2010,79.9
Netherlands,NLD,2011,81.8
Netherlands,NLD,2012,83.0
Netherlands,NLD,2013,83.1
Netherlands,NLD,2014,82.4
Netherlands,NLD,2015,82.1
Netherlands,NLD,2016,80.9
Netherlands,NLD,2017,81.6
Netherlands,NLD,2018,75.6
Norway,NOR,2005,98.2
Norway,NOR,2006,80.1
Norway,NOR,2007,81.4
Norway,NOR,2008,81.5
Norway,NOR,2009,79.3
Norway,NOR,2010,81.5
Norway,NOR,2011,81.7
Norway,NOR,2012,78.9
Norway,NOR,2013,80.8
Norway,NOR,2014,80.1
Norway,NOR,2015,82.4
Norway,NOR,2016,85.4
Norway,NOR,2017,86.2
Norway,NOR,2018,81.4
Poland,POL,2006,47.8
Poland,POL,2007,55.6
Poland,POL,2008,39.2
Poland,POL,2009,82.3
Poland,POL,2010,78.4
Poland,POL,2011,90.0
Poland,POL,2012,76.3
Poland,POL,2013,75.6
Poland,POL,2014,73.5
Poland,POL,2015,69.7
Poland,POL,2016,82.2
Poland,POL,2017,82.7
Poland,POL,2018,87.6
Portugal,PRT,2005,100.0
Portugal,PRT,2006,89.5
Portugal,PRT,2007,91.9
Portugal,PRT,2008,84.8
Portugal,PRT,2009,85.1
Portugal,PRT,2010,85.0
Portugal,PRT,2011,83.0
Portugal,PRT,2012,86.6
Portugal,PRT,2013,86.6
Portugal,PRT,2014,76.9
Portugal,PRT,2015,78.0
Portugal,PRT,2016,82.1
Portugal,PRT,2017,80.9
Romania,ROU,2007,11.0
Romania,ROU,2008,25.3
Romania,ROU,2009,79.4
Romania,ROU,2010,84.7
Romania,ROU,2011,85.1
Romania,ROU,2012,84.3
Romania,ROU,2013,86.7
Romania,ROU,2014,87.3
Romania,ROU,2015,66.0
Romania,ROU,2016,74.0
Slovakia,SVK,2005,71.8
Slovakia,SVK,2006,83.7
Slovakia,SVK,2007,83.8
Slovakia,SVK,2008,85.4
Slovakia,SVK,2009,80.9
Slovakia,SVK,2010,87.1
Slovakia,SVK,2011,86.6
Slovakia,SVK,2012,87.8
Slovakia,SVK,2013,85.1
Slovakia,SVK,2014,90.7
Slovakia,SVK,2015,86.7
Slovakia,SVK,2016,89.4
Slovakia,SVK,2017,88.6
Slovakia,SVK,2018,88.9
Slovenia,SVN,2009,67.5
Slovenia,SVN,2010,78.5
Slovenia,SVN,2011,75.1
Slovenia,SVN,2012,79.7
Slovenia,SVN,2013,51.0
Slovenia,SVN,2014,81.6
Slovenia,SVN,2015,86.2
Slovenia,SVN,2016,75.8
Slovenia,SVN,2017,86.9
Slovenia,SVN,2018,84.6
Spain,ESP,2006,69.8
Spain,ESP,2007,78.7
Spain,ESP,2008,79.8
Spain,ESP,2009,65.7
Spain,ESP,2010,67.4
Spain,ESP,2011,80.3
Spain,ESP,2012,84.5
Spain,ESP,2013,82.0
Spain,ESP,2014,76.9
Spain,ESP,2015,75.7
Spain,ESP,2016,87.8
Spain,ESP,2017,83.1
Spain,ESP,2018,86.2
Sweden,SWE,2005,94.3
Sweden,SWE,2006,94.3
Sweden,SWE,2007,81.9
Sweden,SWE,2008,82.5
Sweden,SWE,2009,84.0
Sweden,SWE,2010,83.9
Sweden,SWE,2011,83.6
Sweden,SWE,2012,84.3
Sweden,SWE,2013,83.7
Sweden,SWE,2014,84.1
Sweden,SWE,2015,83.6
Sweden,SWE,2016,83.4
Sweden,SWE,2017,83.5
Sweden,SWE,2018,83.3
United Kingdom,GBR,2007,77.6
United Kingdom,GBR,2008,76.0
United Kingdom,GBR,2009,77.7
United Kingdom,GBR,2014,80.6
United Kingdom,GBR,2015,80.9
United Kingdom,GBR,2016,81.6
United Kingdom,GBR,2017,82.1
United Kingdom,GBR,2018,86.2
